,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
1362,현대 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD CVX 프리미엄,차량번호 74라6435,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182368&gubun=K,2010.06,"65,000 km",디젤,"2,497 cc (174마력)",검정색,만료,950만원,42,1,1,1,0,0,1,0,1,0,0,등록,,,,,,,,,
1363,현대 뉴 투싼ix 2.0 디젤 2WD 프리미엄,차량번호 55라3825,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182370&gubun=K,2013.11 (14년형),"79,000 km",디젤,"1,995 cc (184마력)",주황색,만료,"1,150만원",41,1,1,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,0,0,1,"392,790"
1364,쌍용 G4 렉스턴 2.2 디젤 4WD 5인승 화이트 에디션,차량번호 295보1910,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182354&gubun=K,2020.06,"8,117 km",디젤,"2,157 cc (187마력)",검정색,"60개월 / 100,000km","2,890만원",70,0,0,1,1,1,1,1,1,0,1,등록,1,0,0,0,0,1,"3,947,300",0,0
1365,쌍용 뉴 코란도 C 2.0 디젤 4WD CVX 최고급형,차량번호 29부6382,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182292&gubun=K,2014.02,"87,000 km",디젤,"1,998 cc (181마력)",은색,만료,950만원,31,0,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"1,449,590",1,"1,161,660"
1366,쌍용 렉스턴 스포츠 2.2 디젤 4WD 다이내믹 에디션,차량번호 92어4939,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182294&gubun=K,2021.02,"15,000 km",디젤,"2,157 cc (181마력)",흰색,"60개월 / 100,000km","2,690만원",85,1,0,1,1,0,1,0,1,0,1,등록,1,0,0,0,0,0,0,1,0
1367,기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,차량번호 11주8281,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182352&gubun=K,2015.06,"47,899 km",디젤,"1,995 cc (186마력)",진회색,만료,"1,750만원",58,0,0,1,1,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1368,기아 올 뉴 프라이드 1.6 5도어 럭셔리 에코 플러스,차량번호 164더8226,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182287&gubun=K,2012.03,"63,000 km",가솔린,"1,591 cc (140마력)",흰색,만료,650만원,40,1,0,1,0,0,1,0,0,0,0,등록,3,0,0,0,0,6,"4,973,706",2,"1,588,958"
1369,현대 엑센트  위트 1.6 디젤 프리미엄,차량번호 35무4908,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182063&gubun=K,2013.04 (14년형),"180,000 km",디젤,"1,582 cc (128마력)",검정색,만료,430만원,23,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1370,르노삼성 QM3 1.5 디젤 RE,차량번호 63루6518,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182065&gubun=K,2013.12 (14년형),"154,000 km",디젤,"1,461 cc (90마력)",흰색,"132개월 / 220,000km",650만원,26,0,0,1,0,0,1,0,1,0,1,등록,9,0,0,0,0,3,"4,602,233",0,0
1371,GM대우 뉴 다마스 2인승 판넬밴 슈퍼,차량번호 92누7758,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182031&gubun=K,2016.10 (17년형),"45,000 km",LPG,796 cc (43마력),청색,만료,480만원,54,0,0,0,0,0,1,0,0,0,0,등록,4,0,0,0,0,1,"46,500",1,"632,940"
1372,쌍용 렉스턴W 2.0 디젤 4WD 노블레스,차량번호 35더1734,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182289&gubun=K,2012.11 (13년형),"148,000 km",디젤,"1,998 cc (155마력)",검정색,만료,930만원,25,1,0,1,1,1,1,0,1,0,0,등록,1,0,0,0,0,2,"3,857,460",0,0
1373,기아 올 뉴 모닝 1.0 럭셔리 스포츠,차량번호 66노3753,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181695&gubun=K,2014.11 (15년형),"68,000 km",가솔린,998 cc (82마력),흰색,만료,580만원,52,1,0,1,0,0,1,0,0,0,0,등록,5,0,0,0,0,5,"4,416,665",3,"2,282,489"
1374,르노삼성 뉴 QM5 2.0 가솔린 2WD LE20,차량번호 16머9637,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181601&gubun=K,2014.01,"154,000 km",가솔린,"1,998 cc (143마력)",진회색,만료,690만원,27,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
1375,현대 제네시스 BH330 그랜드 프라임팩,차량번호 12노3338,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180715&gubun=K,2011.06 (12년형),"97,000 km",가솔린,"3,342 cc (300마력)",검정색,만료,850만원,18,0,0,1,1,1,1,0,1,0,1,등록,2,0,0,0,0,1,"15,527,668",2,"806,668"
1376,르노삼성 SM7 뉴 아트 2.3 LE23,차량번호 50주1570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180687&gubun=K,2010.06 (11년형),"80,000 km",가솔린,"2,349 cc (170마력)",검정색,만료,490만원,15,0,0,1,0,0,1,0,1,0,0,등록,3,0,0,0,0,2,"1,405,437",5,"3,306,652"
1377,기아 뉴 스포티지 2.0 디젤 2WD TLX 최고급형,차량번호 61서1644,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180685&gubun=K,2009.06 (10년형),"120,000 km",디젤,"1,991 cc (151마력)",흰색,만료,380만원,17,1,0,1,0,0,1,0,1,0,0,등록,5,0,0,0,0,4,"21,136,980",9,"47,956,650"
1378,기아 쏘렌토R 2.2 디젤 4WD TLX 프리미엄,차량번호 22서7536,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180684&gubun=K,2012.04,"138,000 km",디젤,"2,199 cc (200마력)",검정색,만료,830만원,24,1,1,1,1,0,1,0,1,0,1,등록,3,0,0,0,0,2,"1,371,670",0,0
1379,기아 셀토스 1.6 디젤 2WD 노블레스,차량번호 292노3498,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180671&gubun=K,2019.09 (20년형),"33,575 km",디젤,"1,598 cc (136마력)",흰색,"60개월 / 100,000km","2,430만원",90,0,0,1,1,1,1,0,1,0,1,등록,0,0,0,0,0,3,"2,407,451",3,"1,846,433"
1380,쌍용 체어맨H 뉴 클래식 2.8 500S VIP,차량번호 17조5464,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180666&gubun=K,2011.08 (12년형),"136,000 km",가솔린,"2,799 cc (200마력)",검정색,만료,480만원,10,0,0,1,1,0,1,0,1,0,1,등록,5,0,0,0,0,2,"1,984,380",3,"2,923,594"
1381,쉐보레 크루즈 1.8 LTZ,차량번호 68너5658,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182305&gubun=K,2012.05,"153,000 km",가솔린,"1,796 cc (142마력)",진회색,만료,390만원,22,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,5,"6,829,408",1,"257,100"
1382,쉐보레 캡티바 2.2 디젤 2WD LT,차량번호 45고8015,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182304&gubun=K,2011.12,"148,000 km",디젤,"2,231 cc (184마력)",은색,만료,450만원,15,1,0,1,0,0,1,0,1,0,0,등록,7,0,0,0,0,4,"3,948,160",2,"1,035,008"
1383,쉐보레 말리부 2.0 디젤 LT 디럭스팩,차량번호 16누3496,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182306&gubun=K,2014.05,"208,000 km",디젤,"1,956 cc (156마력)",검정색,만료,390만원,13,0,0,1,1,1,1,0,0,0,0,등록,3,0,0,0,0,3,"1,989,981",1,0
1384,기아 K9  3.3 노블레스   ,차량번호 20마0978,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180529&gubun=K,2013.01,"195,000 km",가솔린,"3,342 cc (300마력)",검정색,불가,"1,090만원",18,0,0,1,1,1,1,1,1,0,1,미등록,,,,,,,,,
1385,쌍용 G4 렉스턴  2.2 디젤 4WD 7인승 헤리티지   ,차량번호 185누3570,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181441&gubun=K,2018.03,"166,000 km",디젤,"2,157 cc (187마력)",회색,불가,"1,790만원",준비중,,,,,,,,,,,등록,1,0,0,0,0,0,0,1,"564,688"
1386,쌍용 G4 렉스턴  2.2 디젤 2WD 5인승 유라시아 에디션   ,차량번호 108오7815,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181442&gubun=K,2018.06,"97,000 km",디젤,"2,157 cc (187마력)",회색,불가,"1,960만원",53,,,,,,,,,,,등록,2,0,0,0,0,0,0,1,"497,250"
1387,기아 그랜드 카니발 2.9 디젤 GX 그랜드팩,차량번호 72로9608,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181221&gubun=K,2010.01,"128,962 km",디젤,"2,902 cc (170마력)",은색,만료,500만원,23,0,0,1,0,0,1,0,0,0,0,등록,3,0,0,0,0,0,0,1,"2,583,288"
1388,현대 아이오닉6  롱레인지 AWD 프레스티지   ,차량번호 20거8549,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182783&gubun=K,2022.09 (23년형),"2,000 km",전기,0 cc (325마력),검정색,"36개월 / 60,000km","6,500만원",102,1,0,1,0,0,1,0,1,1,1,미등록,,,,,,,,,
1389,현대 그랜드스타렉스  2.5 디젤 왜건 11인승 2WD HVX VIP팩   ,차량번호 70서8715,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182469&gubun=K,2014.08 (15년형),"98,000 km",디젤,"2,497 cc (175마력)",은색,불가,"1,499만원",56,0,0,1,0,0,1,0,0,0,0,미등록,,,,,,,,,
1390,현대 그랜드스타렉스  캠핑카 -   ,차량번호 79수2031,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181680&gubun=K,2011.04,"186,000 km",디젤,"2,497 cc (174마력)",은색,불가,999만원,준비중,0,0,1,0,0,1,0,0,0,0,미등록,,,,,,,,,
1391,현대 포터2  CRDi 일반캡 초장축 SUP   ,차량번호 837주6924,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154247&gubun=K,2019.02,"139,000 km",디젤,"2,497 cc ()",청색,불가,"1,100만원",준비중,0,0,1,0,0,0,0,0,0,0,미등록,,,,,,,,,
1392,현대 포터2  CRDi 더블캡 초장축 SUP 고급형 ,차량번호 93오8113,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155285&gubun=K,2013.05 (14년형),"180,000 km",디젤,"2,497 cc ()",청색,불가,730만원,준비중,0,0,1,0,0,0,0,0,0,0,미등록,,,,,,,,,
1393,기아 봉고3  더블캡 4WD 장축 GX 스페셜   ,차량번호 97서7885,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162819&gubun=K,2012.11 (13년형),"161,000 km",디젤,"2,497 cc ()",흰색,불가,930만원,준비중,0,0,1,0,0,0,0,0,0,0,미등록,,,,,,,,,
1394,현대 포터2  CRDi 슈퍼캡 초장축 골드 고급형  ,차량번호 88노3232,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169271&gubun=K,2015.01,"139,000 km",디젤,"2,497 cc ()",흰색,불가,"1,100만원",준비중,0,0,1,0,0,1,0,0,0,0,미등록,,,,,,,,,
1395,현대 포터2  다용도탑차 -   ,차량번호 80로0167,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172147&gubun=K,2017.06 (18년형),"160,000 km",디젤,"2,497 cc ()",흰색,불가,"1,550만원",준비중,0,0,1,0,0,0,0,1,0,0,미등록,,,,,,,,,
1396,기아 뉴모닝  1.0 LX 기본형 블랙프리미엄   ,차량번호 38주7760,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174213&gubun=K,2009.01,"104,000 km",가솔린,999 cc (64마력),하늘색,불가,260만원,32,0,0,1,0,0,0,0,1,0,0,미등록,,,,,,,,,
1397,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형   ,차량번호 93라6505,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177928&gubun=K,2011.01,"185,000 km",디젤,"2,497 cc ()",청색,불가,780만원,준비중,0,0,1,0,0,0,0,0,0,0,미등록,,,,,,,,,
1398,현대 포터2  CRDi 슈퍼캡 초장축 SUP 일반형   ,차량번호 96너9891,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178486&gubun=K,2011.05,"163,000 km",디젤,"2,497 cc ()",흰색,불가,790만원,준비중,0,0,1,0,0,0,0,0,0,0,미등록,,,,,,,,,
1399,현대 그랜저HG 300  프라임,차량번호 40너1079,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182508&gubun=K,2011.03,"112,594 km",가솔린,"2,999 cc (270마력)",검정색,만료,879만원,26,0,0,0,1,0,0,0,0,0,0,등록,0,0,0,0,0,1,"152,340",0,0
1400,현대 그랜저HG 300  프라임,차량번호 40너1079,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182508&gubun=K,2011.03,"112,594 km",가솔린,"2,999 cc (270마력)",검정색,만료,879만원,26,0,0,0,1,0,0,0,0,0,0,등록,0,0,0,0,0,1,"152,340",0,0
1401,기아 더 뉴 K7 2.4 프레스티지 스페셜,차량번호 27나9005,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182509&gubun=K,2012.12 (13년형),"125,204 km",가솔린,"2,359 cc (201마력)",흰색,만료,940만원,29,1,1,0,1,1,1,0,0,0,1,등록,2,0,0,0,0,5,"5,086,279",0,0
1402,현대 그랜저HG 300  익스클루시브,차량번호 15저7789,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182511&gubun=K,2013.09 (14년형),"152,681 km",가솔린,"2,999 cc (270마력)",흰색,만료,950만원,26,,,,,,,,,,,등록,2,0,0,0,0,4,"5,450,325",0,0
1403,르노삼성 뉴SM5 플래티넘 1.6 터보  TCE,차량번호 35마6735,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182510&gubun=K,2013.10 (14년형),"96,497 km",가솔린,"1,618 cc (190마력)",회색,"132개월 / 220,000km",520만원,19,1,1,0,1,1,1,1,1,1,0,등록,1,0,0,0,0,3,"5,389,610",4,"4,149,793"
1404,현대 뉴 에쿠스 3.8  VS380 프레스티지,차량번호 32부3380,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182507&gubun=K,2010.02,"152,090 km",가솔린,"3,778 cc (290마력)",검정색,만료,780만원,9,,,,,,,,,,,등록,1,0,0,0,0,1,"2,995,046",1,"236,000"
1405,르노삼성 SM3 네오 1.6 SE 플러스,차량번호 17누3648,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182236&gubun=K,2014.08 (15년형),"120,857 km",가솔린,"1,598 cc (117마력)",흰색,"132개월 / 220,000km",630만원,34,,,,,,,,,,,등록,3,0,0,0,0,3,"3,231,837",1,"1,083,350"
1406,현대 제네시스 DH G330 AWD 프리미엄,차량번호 309라6160,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182234&gubun=K,2014.07 (15년형),"189,654 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,550만원",28,1,0,1,1,1,1,0,1,0,1,등록,5,0,0,0,0,6,"5,331,860",2,"532,930"
1407,르노삼성 SM7 노바 2.5  LE,차량번호 11누2337,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182235&gubun=K,2015.08,"170,131 km",가솔린,"2,495 cc (190마력)",회색,"132개월 / 220,000km",699만원,21,,,,,,,,,,,등록,,,,,,,,,
1408,현대 그랜저HG 220 디젤  프리미엄,차량번호 145루6749,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182238&gubun=K,2014.11 (15년형),"166,207 km",디젤,"2,199 cc (202마력)",흰색,만료,999만원,29,1,1,0,1,1,1,0,1,0,0,등록,6,0,0,0,0,2,"785,346",1,"1,100,200"
1409,기아 K7 VG270 LPI  프레스티지 프리미엄,차량번호 51조7775,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182239&gubun=K,2010.02,"171,395 km",LPG,"2,656 cc (165마력)",검정색,만료,630만원,준비중,,,,,,,,,,,등록,5,0,0,0,0,6,"3,579,188",2,"526,110"
1410,현대 그랜저IG 2.4 프리미엄 스페셜,차량번호 08모7037,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182237&gubun=K,2017.04 (18년형),"91,219 km",가솔린,"2,359 cc (190마력)",회색,만료,"1,999만원",58,1,0,1,1,1,1,0,1,0,1,등록,0,0,0,0,0,2,"4,191,640",1,"475,256"
1411,르노삼성 SM5 노바 2.0 클래식,차량번호 33누9642,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182233&gubun=K,2017.02,"42,639 km",가솔린,"1,998 cc (141마력)",검정색,만료,830만원,37,,,,,,,,,,,등록,1,0,0,0,0,1,"2,868,000",0,0
1412,현대 제네시스 DH G330 AWD 모던,차량번호 22조9583,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181794&gubun=K,2014.12 (15년형),"93,175 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,870만원",38,1,0,1,1,1,1,0,1,0,1,등록,4,0,0,0,0,8,"11,151,832",5,"13,302,780"
1413,기아 더 뉴 K5 2.0  트렌디,차량번호 69루1062,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181808&gubun=K,2014.02,"101,891 km",가솔린,"1,999 cc (172마력)",회색,만료,899만원,36,1,1,0,1,0,1,0,1,0,0,등록,,,,,,,,,
1414,현대 엑센트  1.6 프리미어,차량번호 25루5356,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181795&gubun=K,2012.02,"116,192 km",가솔린,"1,582 cc (140마력)",흰색,만료,620만원,47,,,,,,,,,,,등록,,,,,,,,,
1415,현대 제네시스 DH G330 AWD 모던,차량번호 20다7039,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181793&gubun=K,2015.03 (16년형),"144,539 km",가솔린,"3,342 cc (282마력)",회색,만료,"1,640만원",34,,,,,,,,,,,등록,0,0,0,0,0,2,"1,657,600",0,0
1416,현대 제네시스 DH G330 AWD 프리미엄,차량번호 15조7700,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181585&gubun=K,2015.02,"217,078 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,390만원",25,1,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
1417,현대 LF쏘나타 2.0 스마트,차량번호 43우5209,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181586&gubun=K,2017.03,"80,751 km",가솔린,"1,999 cc (168마력)",흰색,만료,"1,330만원",52,1,0,0,1,1,1,0,1,0,0,등록,,,,,,,,,
1418,기아 쏘울 1.6 2U 세이프티,차량번호 46모9309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181072&gubun=K,2011.01,"87,862 km",가솔린,"1,591 cc (124마력)",검정색,만료,690만원,40,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
1419,현대 그랜저HG 300 로얄,차량번호 18루4593,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181071&gubun=K,2011.12 (12년형),"118,965 km",가솔린,"2,999 cc (270마력)",검정색,만료,910만원,23,,,,,,,,,,,등록,2,0,0,0,0,3,"2,401,798",2,"4,370,330"
1420,현대 LF쏘나타 2.0 스마트,차량번호 43우5209,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181586&gubun=K,2017.03,"80,751 km",가솔린,"1,999 cc (168마력)",흰색,만료,"1,330만원",52,1,0,0,1,1,1,0,1,0,0,등록,,,,,,,,,
1421,기아 쏘울 1.6 2U 세이프티,차량번호 46모9309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181072&gubun=K,2011.01,"87,862 km",가솔린,"1,591 cc (124마력)",검정색,만료,690만원,40,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
1422,현대 그랜저HG 300 로얄,차량번호 18루4593,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181071&gubun=K,2011.12 (12년형),"118,965 km",가솔린,"2,999 cc (270마력)",검정색,만료,910만원,23,,,,,,,,,,,등록,2,0,0,0,0,3,"2,401,798",2,"4,370,330"
1423,기아 K5 2세대 2.0 MX 프레스티지,차량번호 46나7796,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181079&gubun=K,2015.09 (16년형),"167,561 km",가솔린,"1,999 cc (168마력)",검정색,만료,910만원,36,1,1,0,0,0,1,0,1,0,0,등록,3,0,0,0,0,0,0,1,"469,310"
1424,현대 아이오닉 하이브리드 1.6 HEV  Q,차량번호 27고4814,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181073&gubun=K,2016.02,"110,789 km",가솔린 하이브리드,"1,580 cc (141마력)",흰색,만료,"1,290만원",44,,,,,,,,,,,등록,,,,,,,,,
1425,현대 뉴 에쿠스 3.8 VS380 프레스티지 VVIP팩,차량번호 58루8858,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181070&gubun=K,2011.12 (12년형),"118,128 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,420만원",13,1,0,0,1,1,1,1,1,0,1,등록,7,0,0,0,0,10,"6,577,704",3,"1,436,500"
1426,기아 쏘렌토R 2.2 디젤 4WD  TLX 프리미엄,차량번호 31주3531,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181066&gubun=K,2011.06,"162,949 km",디젤,"2,199 cc (200마력)",검정색,만료,849만원,25,,,,,,,,,,,등록,2,0,0,0,0,0,0,0,0
1427,기아 K9 3.3 노블레스 스페셜,차량번호 60고7666,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181064&gubun=K,2012.12 (13년형),"164,879 km",가솔린,"3,342 cc (300마력)",검정색,만료,"1,190만원",18,,,,,,,,,,,등록,2,0,0,0,0,6,"5,742,781",2,"2,293,470"
1428,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브,차량번호 65너6101,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181062&gubun=K,2018.03,"138,821 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,"60개월 / 100,000km","2,280만원",58,1,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,1,"635,000",1,"316,350"
1429,르노삼성 SM5 노바 2.0 LE,차량번호 53모8016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181792&gubun=K,2015.02,"134,135 km",가솔린,"1,998 cc (141마력)",검정색,"132개월 / 220,000km",560만원,20,,,,,,,,,,,등록,,,,,,,,,
1430,현대 뉴 에쿠스 3.8 VS380 익스클루시브,차량번호 18로3500,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181063&gubun=K,2013.11 (14년형),"194,450 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,420만원",15,,,,,,,,,,,등록,5,0,0,0,0,3,"2,489,003",1,"593,369"
1431,기아 더 뉴 프라이드 1.4 트렌디,차량번호 02러2473,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180950&gubun=K,2015.05,"57,893 km",가솔린,"1,396 cc (108마력)",흰색,만료,790만원,54,1,0,0,0,0,1,0,1,0,0,등록,4,0,0,0,0,0,0,0,0
1432,현대 그랜저HG 300 로얄,차량번호 48두2336,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180949&gubun=K,2011.02,"127,868 km",가솔린,"2,999 cc (270마력)",흰색,만료,899만원,23,1,1,0,1,1,1,1,1,0,0,등록,3,0,0,0,0,1,"547,839",0,0
1433,쌍용 티볼리 아머 1.6 가솔린 2WD VX,차량번호 59저1545,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181077&gubun=K,2017.10 (18년형),"104,358 km",가솔린,"1,597 cc (126마력)",흰색,"60개월 / 100,000km","1,089만원",54,1,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,2,"2,456,020",1,"478,365"
1434,기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,차량번호 23머9769,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180927&gubun=K,2014.08 (15년형),"163,259 km",디젤,"2,199 cc (202마력)",흰색,만료,"1,479만원",45,1,0,0,1,1,1,0,1,0,0,등록,4,0,0,0,0,4,"4,106,030",2,"2,491,490"
1435,현대 벨로스터 1.4 터보 모던 코어,차량번호 46거9403,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180928&gubun=K,2018.09,"81,639 km",가솔린,"1,353 cc (140마력)",흰색,"60개월 / 100,000km","1,470만원",62,1,0,1,0,1,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1436,현대 제네시스 DH G330 AWD  모던,차량번호 35부5869,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180953&gubun=K,2014.05 (15년형),"238,176 km",가솔린,"3,342 cc (282마력)",검정색,만료,"1,190만원",24,1,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,4,"2,673,206",0,0
1437,현대 뉴 에쿠스 3.8  VS380 프레스티지,차량번호 66머2062,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180954&gubun=K,2010.12 (11년형),"185,686 km",가솔린,"3,778 cc (290마력)",검정색,만료,820만원,9,,,,,,,,,,,등록,4,0,0,0,0,3,"2,889,231",1,"708,572"
1438,현대 쏘나타 2.0 스마트,차량번호 379버4587,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180797&gubun=K,2019.07 (20년형),"92,907 km",가솔린,"1,999 cc (160마력)",흰색,"60개월 / 100,000km","1,599만원",68,,,,,,,,,,,등록,1,0,0,0,0,1,"755,464",0,0
1439,기아 K5 2.0  럭셔리,차량번호 41부1282,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180796&gubun=K,2012.11 (13년형),"78,054 km",가솔린,"1,999 cc (172마력)",흰색,만료,870만원,34,1,1,0,1,0,1,0,1,0,0,등록,2,0,0,0,0,1,"357,010",0,0
1440,현대 뉴 에쿠스 3.8 VS380 프레스티지,차량번호 299저5295,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180794&gubun=K,2011.11 (12년형),"138,857 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,250만원",14,1,0,0,1,1,1,0,1,0,1,등록,1,0,0,0,0,5,"5,176,966",0,0
1441,현대 아슬란 3.0  G300 모던 스페셜,차량번호 25소5682,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180951&gubun=K,2015.11 (16년형),"142,951 km",가솔린,"2,999 cc (270마력)",검정색,만료,"1,350만원",33,,,,,,,,,,,등록,4,0,0,0,0,1,"1,659,519",1,"386,266"
1442,기아 K7 2.7 럭셔리,차량번호 68마7408,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177230&gubun=K,2011.03,"112,701 km",가솔린,"2,656 cc (200마력)",검정색,만료,750만원,22,1,1,0,1,1,1,1,1,0,0,등록,1,0,0,0,0,6,"3,896,610",4,"2,339,990"
1443,현대 뉴 에쿠스 4.6 VS460 프레스티지,차량번호 25서8762,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177149&gubun=K,2011.01,"96,702 km",가솔린,"4,627 cc (366마력)",검정색,만료,"1,230만원",11,,,,,,,,,,,등록,4,0,0,0,0,1,"374,670",0,0
